setCode,pieceID,pieceNumber,keyName,mode,pieceTitle,pickUpLength,keyChroma,book,preludeNotes
chopin-1,M0,1,C,Major,NA,NA,0,NA,NA
chopin-1,m9,2,A,minor,NA,NA,9,NA,NA
chopin-1,M7,3,G,Major,NA,NA,7,NA,NA
chopin-1,m4,4,E,minor,NA,0.25,4,NA,NA
chopin-1,M2,5,D,Major,NA,NA,2,NA,not certain here ^
chopin-1,m11,6,B,minor,NA,NA,11,NA,NA
chopin-1,M9,7,A,Major,NA,0.33,9,NA,NA
chopin-1,m6,8,F#,minor,NA,NA,6,NA,NA
chopin-1,M4,9,E,Major,NA,NA,4,NA,NA
chopin-1,m1,10,C#,minor,NA,0.33,1,NA,NA
chopin-1,M11,11,B,Major,NA,NA,11,NA,NA
chopin-1,m8,12,G#,minor,NA,NA,8,NA,NA
chopin-1,M6,13,F#,Major,NA,NA,6,NA,NA
chopin-1,m3,14,Eb,minor,NA,NA,3,NA,NA
chopin-1,M1,15,Db,Major,NA,NA,1,NA,NA
chopin-1,m10,16,Bb,minor,NA,NA,10,NA,NA
chopin-1,M8,17,Ab,Major,NA,NA,8,NA,NA
chopin-1,m5,18,F,minor,NA,NA,5,NA,NA
chopin-1,M3,19,Eb,Major,NA,0.33,3,NA,NA
chopin-1,m0,20,C,minor,NA,NA,0,NA,NA
chopin-1,M10,21,Bb,Major,NA,NA,10,NA,NA
chopin-1,m7,22,G,minor,NA,0.5,7,NA,NA
chopin-1,M5,23,F,Major,NA,NA,5,NA,NA
chopin-1,m2,24,D,minor,NA,NA,2,NA,NA
bach-1,M0,1,C,Major,NA,NA,0,NA,NA
bach-1,m0,2,C,minor,NA,NA,0,NA,NA
bach-1,M1,3,C#,Major,NA,NA,1,NA,NA
bach-1,m1,4,C#,minor,NA,NA,1,NA,NA
bach-1,M2,5,D,Major,NA,NA,2,NA,NA
bach-1,m2,6,D,minor,NA,NA,2,NA,NA
bach-1,M3,7,Eb,Major,NA,NA,3,NA,NA
bach-1,m3,8,Eb,minor,NA,NA,3,NA,NA
bach-1,M4,9,E,Major,NA,NA,4,NA,NA
bach-1,m4,10,E,minor,NA,NA,4,NA,NA
bach-1,M5,11,F,Major,NA,NA,5,NA,NA
bach-1,m5,12,F,minor,NA,NA,5,NA,NA
bach-1,M6,13,F#,Major,NA,NA,6,NA,NA
bach-1,m6,14,F#,minor,NA,NA,6,NA,NA
bach-1,M7,15,G,Major,NA,NA,7,NA,NA
bach-1,m7,16,G,minor,NA,NA,7,NA,NA
bach-1,M8,17,Ab,Major,NA,NA,8,NA,NA
bach-1,m8,18,G#,minor,NA,NA,8,NA,NA
bach-1,M9,19,A,Major,NA,NA,9,NA,NA
bach-1,m9,20,A,minor,NA,NA,9,NA,NA
bach-1,M10,21,Bb,Major,NA,NA,10,NA,NA
bach-1,m10,22,Bb,minor,NA,NA,10,NA,NA
bach-1,M11,23,B,Major,NA,NA,11,NA,NA
bach-1,m11,24,B,minor,NA,NA,11,NA,NA
shostakovich-1,M0,1,C,Major,NA,NA,0,NA,NA
shostakovich-1,m9,2,A,minor,NA,NA,9,NA,NA
shostakovich-1,M7,3,G,Major,NA,NA,7,NA,NA
shostakovich-1,m4,4,E,minor,NA,NA,4,NA,NA
shostakovich-1,M2,5,D,Major,NA,NA,2,NA,NA
shostakovich-1,m11,6,B,minor,NA,NA,11,NA,NA
shostakovich-1,M9,7,A,Major,NA,NA,9,NA,NA
shostakovich-1,m6,8,F#,minor,NA,NA,6,NA,NA
shostakovich-1,M4,9,E,Major,NA,NA,4,NA,NA
shostakovich-1,m1,10,C#,minor,NA,NA,1,NA,NA
shostakovich-1,M11,11,B,Major,NA,NA,11,NA,NA
shostakovich-1,m8,12,G#,minor,NA,NA,8,NA,NA
shostakovich-1,M6,13,F#,Major,NA,NA,6,NA,NA
shostakovich-1,m3,14,Eb,minor,NA,NA,3,NA,NA
shostakovich-1,M1,15,Db,Major,NA,NA,1,NA,NA
shostakovich-1,m10,16,Bb,minor,NA,NA,10,NA,NA
shostakovich-1,M8,17,Ab,Major,NA,NA,8,NA,NA
shostakovich-1,m5,18,F,minor,NA,NA,5,NA,NA
shostakovich-1,M3,19,Eb,Major,NA,NA,3,NA,NA
shostakovich-1,m0,20,C,minor,NA,NA,0,NA,NA
shostakovich-1,M10,21,Bb,Major,NA,NA,10,NA,NA
shostakovich-1,m7,22,G,minor,NA,NA,7,NA,NA
shostakovich-1,M5,23,F,Major,NA,NA,5,NA,NA
shostakovich-1,m2,24,D,minor,NA,NA,2,NA,NA
